"","Brain_weight_g","Body_mass_kg"
"Gorilla_gorilla",508.0614737,120.95
"Pan_troglodytes",379.3832,44.967
"S_tchadensis",378.14,58
"Ar_ramidus",310.8,50
"Au_anamensis",380.73,46.3
"Au_afarensis",462.056,39.1
"Au_africanus",476.56,30.5
"Au_garhi",466.2,NA
"K_platyops",440.3,NA
"P_robustus",493.136,36.05
"P_boisei",442.372,41.3
"P_aethiopicus",424.76,38
"Au_sediba",435.12,25.8
"H_habilis",646.7748,32.6
"H_rudolfensis",779.072,55.2
"H_ergaster",902.356,48.9
"H_erectus",1026.676,51.4
"H_heidelbergensis",1286.712,70.6
"H_neanderthalensis",1454.544,72.109
"H_floresiensis",441.0252,27.5
"H_sapiens",1397.564,57.8491
"H_antecessor",1302.77,69.7
"Georgian_H_erectus",565.656,40.7
"H_naledi",530.95,44
